"Dấu thời gian","1. Khi bắt đầu một chương/bài học mới (có slide + video/transcript), thứ tự học thông thường của bạn là gì?","2. Khi gặp một câu hỏi hoặc bài tập khó mà tài liệu bài giảng không giải thích rõ, bạn thường xử lý như thế nào?","3. Bạn đánh giá mức độ hiệu quả của các kênh hỗ trợ giải đáp thắc mắc hiện tại như thế nào?","4. Khi xem một bài giảng dài (30–60 phút), điều gì khiến bạn cảm thấy nản hoặc mất tập trung nhất? (Chọn tối đa 2)","5. Khi bạn nộp bài tập trên hệ thống và nhận kết quả ""Sai"", cảm giác hoặc phản ứng đầu tiên của bạn là gì?","6. Hãy nhớ lại lần gần nhất bạn làm sai một bài tập khó. Khó khăn lớn nhất lúc đó là gì?","7. Nếu có một hệ thống giúp bạn giải bài tập, bạn ghét điều gì nhất? (Chọn tối đa 2)","8. Bạn thường mất bao nhiêu thời gian để tự giải quyết xong một bài tập khó trước khi phải cầu cứu sự trợ giúp?","9. Đánh giá mức độ hữu ích của các tính năng hỗ trợ học tập sau đây trong việc cải thiện kết quả học tập của bạn: [Giải thích chi tiết từng bước khi làm sai]","9. Đánh giá mức độ hữu ích của các tính năng hỗ trợ học tập sau đây trong việc cải thiện kết quả học tập của bạn: [Cung cấp ví dụ thực tế liên quan đến bài học]","9. Đánh giá mức độ hữu ích của các tính năng hỗ trợ học tập sau đây trong việc cải thiện kết quả học tập của bạn: [Gợi ý tài liệu đọc thêm phù hợp với phần còn yếu]","10. Bạn có từng dùng ChatGPT/AI để hỏi bài tập hoặc gỡ rối khi học chưa?","11. Nếu đã từng dùng AI để giải bài, vấn đề lớn nhất bạn gặp phải với AI là gì?","12. Hãy tưởng tượng bạn làm sai một câu hỏi khó. Cách hỗ trợ nào dưới đây giúp bạn nhớ lâu và hiểu sâu nhất?","13. Nếu bạn làm đúng một câu hỏi, bạn có sẵn sàng trả lời thêm 1 câu hỏi ngắn của hệ thống để chứng minh mình thực sự hiểu bản chất (chứ không phải đoán mò)?","14. Nếu có 1 ứng dụng bắt bạn thực hiện 1 bài kiểm tra ngắn trước khi vào học lý thuyết/video/slide để đề xuất lộ trình học tập cho bạn, bạn có sẵn sàng sử dụng không?"
"2026/09/17 7:02:45 CH GMT+7","Xem hết video bài giảng / đọc slide từ đầu đến cuối rồi mới mở bài tập.","Tra cứu trên Google / Stack Overflow / Tài liệu ngoài","3","Cảm giác thụ động, dễ trôi kiến thức sau 1–2 ngày.","Muốn xem ngay đáp án đúng để đối chiếu cho nhanh.","Hệ thống chỉ báo ""Sai"", không giải thích lý do tại sao sai.","Đưa ra một đoạn lý thuyết dài dằng dặc copy từ sách mà không chỉ ra đúng bước mình làm sai.","Từ 30 phút đến 1 tiếng","Rất hữu ích","Bình thường","Không hữu ích","Thỉnh thoảng (chỉ khi bí quá không ai giải đáp).","AI giải thích vòng vo, dùng thuật ngữ xa lạ không khớp với slide của thầy cô trên lớp.","Chỉ rõ cho bạn giả định sai (Ví dụ: ""Bạn đang nhầm lẫn giữa khái niệm X và Y ở bước 2""), kèm 1 câu hỏi gợi ý để bạn tự sửa.","Cảm thấy phiền phức, đúng rồi thì nên cho qua luôn.","Chắc chắn có"
"2026/09/17 7:03:29 CH GMT+7","Xem hết video bài giảng / đọc slide từ đầu đến cuối rồi mới mở bài tập.","Tra cứu trên Google / Stack Overflow / Tài liệu ngoài","5","Nghe hiểu lý thuyết lúc xem nhưng khi bắt tay vào làm bài thì không biết áp dụng từ đâu.","Muốn xem ngay đáp án đúng để đối chiếu cho nhanh.","Hiểu khái niệm nhưng đề bài cho ngữ cảnh mới lạ nên không biết cách chuyển giao (transfer).","Nói huỵch tẹt đáp án ra ngay lập tức khiến mình mất cơ hội tự nghĩ.","Từ 15 đến 30 phút","Rất hữu ích","Rất hữu ích","Rất hữu ích","Thường xuyên (gần như bài nào cũng paste vào hỏi).","Đôi khi AI khẳng định tự tin nhưng lại giải sai kiến thức chuyên môn (ảo giác/hallucination).","Chỉ rõ cho bạn giả định sai (Ví dụ: ""Bạn đang nhầm lẫn giữa khái niệm X và Y ở bước 2""), kèm 1 câu hỏi gợi ý để bạn tự sửa.","Rất sẵn sàng, điều đó giúp mình chắc chắn kiến thức hơ","Chắc chắn có"
"2026/09/17 7:03:37 CH GMT+7","Xem hết video bài giảng / đọc slide từ đầu đến cuối rồi mới mở bài tập.","Hỏi bạn học cùng lớp / nhóm học tập","3","Video quá dài, khó tìm lại đúng đoạn giải thích cho thắc mắc cụ thể.","Muốn xem ngay đáp án đúng để đối chiếu cho nhanh.","Hiểu khái niệm nhưng đề bài cho ngữ cảnh mới lạ nên không biết cách chuyển giao (transfer).","Đưa ra một đoạn lý thuyết dài dằng dặc copy từ sách mà không chỉ ra đúng bước mình làm sai.","Từ 15 đến 30 phút","Bình thường","Bình thường","Bình thường","Thỉnh thoảng (chỉ khi bí quá không ai giải đáp).","AI giải thích vòng vo, dùng thuật ngữ xa lạ không khớp với slide của thầy cô trên lớp.","Cung cấp chính xác trích dẫn slide/đoạn video ngắn nói về đúng lỗi đó để bạn tự xem lại.","Cảm thấy phiền phức, đúng rồi thì nên cho qua luôn.","Không"
"2026/09/17 7:03:43 CH GMT+7","Xem hết video bài giảng / đọc slide từ đầu đến cuối rồi mới mở bài tập.","Tra cứu trên Google / Stack Overflow / Tài liệu ngoài;Hỏi bạn học cùng lớp / nhóm học tập;Bỏ qua và chuyển sang câu hỏi khác","3","Nghe hiểu lý thuyết lúc xem nhưng khi bắt tay vào làm bài thì không biết áp dụng từ đâu.","Thử sửa bừa/chọn đáp án khác để xem có ăn may trúng không.","Hiểu khái niệm nhưng đề bài cho ngữ cảnh mới lạ nên không biết cách chuyển giao (transfer).;Hệ thống chỉ báo ""Sai"", không giải thích lý do tại sao sai.;Gợi ý của hệ thống/trợ giảng quá chung chung, không gãi đúng chỗ ngứa.","Nói huỵch tẹt đáp án ra ngay lập tức khiến mình mất cơ hội tự nghĩ.;Đặt những câu hỏi gợi ý quá mơ hồ, làm mất thời gian mà không đi đến đâu.","Từ 15 đến 30 phút","Bình thường","Rất hữu ích","Không hữu ích","Thỉnh thoảng (chỉ khi bí quá không ai giải đáp).","AI giải thích vòng vo, dùng thuật ngữ xa lạ không khớp với slide của thầy cô trên lớp.","Chỉ rõ cho bạn giả định sai (Ví dụ: ""Bạn đang nhầm lẫn giữa khái niệm X và Y ở bước 2""), kèm 1 câu hỏi gợi ý để bạn tự sửa.;Cung cấp lời giải mẫu từng bước chi tiết kèm đáp án chuẩn.","Rất sẵn sàng, điều đó giúp mình chắc chắn kiến thức hơ","Không"
"2026/09/17 7:04:03 CH GMT+7","Xem hết video bài giảng / đọc slide từ đầu đến cuối rồi mới mở bài tập.","Tra cứu trên Google / Stack Overflow / Tài liệu ngoài;Hỏi giảng viên hoặc trợ giảng qua kênh hỗ trợ","3","Video quá dài, khó tìm lại đúng đoạn giải thích cho thắc mắc cụ thể.","Ức chế vì không biết mình sai từ bước logic nào hay chỉ sai cú pháp/tính toán.","Hiểu khái niệm nhưng đề bài cho ngữ cảnh mới lạ nên không biết cách chuyển giao (transfer).;Gợi ý của hệ thống/trợ giảng quá chung chung, không gãi đúng chỗ ngứa.","Đưa ra một đoạn lý thuyết dài dằng dặc copy từ sách mà không chỉ ra đúng bước mình làm sai.;Đặt những câu hỏi gợi ý quá mơ hồ, làm mất thời gian mà không đi đến đâu.","Từ 30 phút đến 1 tiếng","Rất hữu ích","Rất hữu ích","Rất hữu ích","Thường xuyên (gần như bài nào cũng paste vào hỏi).","AI giải luôn ra code/đáp án, làm mình lười tư duy và đi thi vẫn không làm được.","Chỉ rõ cho bạn giả định sai (Ví dụ: ""Bạn đang nhầm lẫn giữa khái niệm X và Y ở bước 2""), kèm 1 câu hỏi gợi ý để bạn tự sửa.;Cung cấp chính xác trích dẫn slide/đoạn video ngắn nói về đúng lỗi đó để bạn tự xem lại.","Rất sẵn sàng, điều đó giúp mình chắc chắn kiến thức hơ","Chắc chắn có"
"2026/09/17 7:04:32 CH GMT+7","Vừa xem/đọc lý thuyết vừa mở bài tập làm song song.","Hỏi bạn học cùng lớp / nhóm học tập;Hỏi giảng viên hoặc trợ giảng qua kênh hỗ trợ;Sử dụng AI (ChatGPT, Gemini, v.v.) để giải thích","3","Nghe hiểu lý thuyết lúc xem nhưng khi bắt tay vào làm bài thì không biết áp dụng từ đâu.","Muốn xem ngay đáp án đúng để đối chiếu cho nhanh.","Tưởng mình hiểu đúng lý thuyết, nhưng thực ra bị ngộ nhận (hiểu lệch một khái niệm nền tảng).;Hiểu khái niệm nhưng đề bài cho ngữ cảnh mới lạ nên không biết cách chuyển giao (transfer).","Nói huỵch tẹt đáp án ra ngay lập tức khiến mình mất cơ hội tự nghĩ.;Đưa ra một đoạn lý thuyết dài dằng dặc copy từ sách mà không chỉ ra đúng bước mình làm sai.","Từ 30 phút đến 1 tiếng","Rất hữu ích","Rất hữu ích","Rất hữu ích","Thường xuyên (gần như bài nào cũng paste vào hỏi).","AI giải luôn ra code/đáp án, làm mình lười tư duy và đi thi vẫn không làm được.","Chỉ rõ cho bạn giả định sai (Ví dụ: ""Bạn đang nhầm lẫn giữa khái niệm X và Y ở bước 2""), kèm 1 câu hỏi gợi ý để bạn tự sửa.;Cung cấp chính xác trích dẫn slide/đoạn video ngắn nói về đúng lỗi đó để bạn tự xem lại.","Rất sẵn sàng, điều đó giúp mình chắc chắn kiến thức hơ","Có, nếu nó tốt"
"2026/09/17 7:06:44 CH GMT+7","Vừa xem/đọc lý thuyết vừa mở bài tập làm song song.","Hỏi bạn học cùng lớp / nhóm học tập;Hỏi giảng viên hoặc trợ giảng qua kênh hỗ trợ","4","Nghe hiểu lý thuyết lúc xem nhưng khi bắt tay vào làm bài thì không biết áp dụng từ đâu.","Bối rối không biết nên mở trang slide/phút video nào để đọc lại.","Hiểu khái niệm nhưng đề bài cho ngữ cảnh mới lạ nên không biết cách chuyển giao (transfer).","Nói huỵch tẹt đáp án ra ngay lập tức khiến mình mất cơ hội tự nghĩ.;Đưa ra một đoạn lý thuyết dài dằng dặc copy từ sách mà không chỉ ra đúng bước mình làm sai.","Từ 15 đến 30 phút","Bình thường","Rất hữu ích","Bình thường","Thỉnh thoảng (chỉ khi bí quá không ai giải đáp).","Đôi khi AI khẳng định tự tin nhưng lại giải sai kiến thức chuyên môn (ảo giác/hallucination).","Cung cấp chính xác trích dẫn slide/đoạn video ngắn nói về đúng lỗi đó để bạn tự xem lại.","Rất sẵn sàng, điều đó giúp mình chắc chắn kiến thức hơ","Có, nếu nó tốt"
"2026/09/17 7:06:46 CH GMT+7","Xem hết video bài giảng / đọc slide từ đầu đến cuối rồi mới mở bài tập.","Tra cứu trên Google / Stack Overflow / Tài liệu ngoài;Hỏi bạn học cùng lớp / nhóm học tập","3","Video quá dài, khó tìm lại đúng đoạn giải thích cho thắc mắc cụ thể.","Ức chế vì không biết mình sai từ bước logic nào hay chỉ sai cú pháp/tính toán.","Hiểu khái niệm nhưng đề bài cho ngữ cảnh mới lạ nên không biết cách chuyển giao (transfer).","Nói huỵch tẹt đáp án ra ngay lập tức khiến mình mất cơ hội tự nghĩ.","Từ 15 đến 30 phút","Bình thường","Rất hữu ích","Không hữu ích","Thường xuyên (gần như bài nào cũng paste vào hỏi).","AI giải luôn ra code/đáp án, làm mình lười tư duy và đi thi vẫn không làm được.","Chỉ rõ cho bạn giả định sai (Ví dụ: ""Bạn đang nhầm lẫn giữa khái niệm X và Y ở bước 2""), kèm 1 câu hỏi gợi ý để bạn tự sửa.;Cung cấp chính xác trích dẫn slide/đoạn video ngắn nói về đúng lỗi đó để bạn tự xem lại.","Rất sẵn sàng, điều đó giúp mình chắc chắn kiến thức hơ","Có, nếu nó tốt"
"2026/09/17 7:08:04 CH GMT+7","Xem hết video bài giảng / đọc slide từ đầu đến cuối rồi mới mở bài tập.","Tra cứu trên Google / Stack Overflow / Tài liệu ngoài;Hỏi giảng viên hoặc trợ giảng qua kênh hỗ trợ","4","Không có cơ hội kiểm tra ngay xem mình có đang hiểu sai bản chất không.","Muốn xem ngay đáp án đúng để đối chiếu cho nhanh.","Hiểu khái niệm nhưng đề bài cho ngữ cảnh mới lạ nên không biết cách chuyển giao (transfer).","Đưa ra một đoạn lý thuyết dài dằng dặc copy từ sách mà không chỉ ra đúng bước mình làm sai.","Hơn 1 tiếng hoặc bỏ cuộc","Không hữu ích","Không hữu ích","Bình thường","Thỉnh thoảng (chỉ khi bí quá không ai giải đáp).","AI giải thích vòng vo, dùng thuật ngữ xa lạ không khớp với slide của thầy cô trên lớp.","Chỉ rõ cho bạn giả định sai (Ví dụ: ""Bạn đang nhầm lẫn giữa khái niệm X và Y ở bước 2""), kèm 1 câu hỏi gợi ý để bạn tự sửa.","Rất sẵn sàng, điều đó giúp mình chắc chắn kiến thức hơ","Chắc chắn có"
"2026/09/17 7:09:18 CH GMT+7","Mở bài tập thử làm trước, chỗ nào bí mới tra lại tài liệu/video.","Sử dụng AI (ChatGPT, Gemini, v.v.) để giải thích","1","Nghe hiểu lý thuyết lúc xem nhưng khi bắt tay vào làm bài thì không biết áp dụng từ đâu.","Ức chế vì không biết mình sai từ bước logic nào hay chỉ sai cú pháp/tính toán.","Tưởng mình hiểu đúng lý thuyết, nhưng thực ra bị ngộ nhận (hiểu lệch một khái niệm nền tảng).","Nói huỵch tẹt đáp án ra ngay lập tức khiến mình mất cơ hội tự nghĩ.","Dưới 15 phút","Không hữu ích","Không hữu ích","Không hữu ích","Thường xuyên (gần như bài nào cũng paste vào hỏi).","AI giải luôn ra code/đáp án, làm mình lười tư duy và đi thi vẫn không làm được.","Chỉ rõ cho bạn giả định sai (Ví dụ: ""Bạn đang nhầm lẫn giữa khái niệm X và Y ở bước 2""), kèm 1 câu hỏi gợi ý để bạn tự sửa.","Rất sẵn sàng, điều đó giúp mình chắc chắn kiến thức hơ","Có, nếu nó tốt"
